name;open;high;low;close;volume;marketCap;timestamp
Bitcoin;103355.4043380652;103404.5436429853;103163.9531603459;103300.6667057406;35348755867.69;2052095193157.61;2025-05-18T03:00:00.000000Z
Bitcoin;103300.5404480682;103448.64265721;103295.2455996191;103366.4589984439;35043782524.52;2053446045924.92;2025-05-18T04:00:00.000000Z
Bitcoin;103368.5411048577;103663.1172579231;103360.1372832423;103651.6557293456;34151944006.23;2059070200043.62;2025-05-18T05:00:00.000000Z
Bitcoin;103644.628898359;103686.0073720863;103397.2657161029;103440.4893284645;35005006565.9;2054882685803.2;2025-05-18T06:00:00.000000Z
Bitcoin;103440.8602040641;103931.0582035557;103428.4835109745;103921.533241096;34512446770.15;2064518315733.86;2025-05-18T07:00:00.000000Z
Bitcoin;103925.9087450452;104066.3844511236;103845.1563864049;103926.2618398815;35531834373.78;2064421417191.39;2025-05-18T08:00:00.000000Z
Bitcoin;103921.0309636249;104037.0612193642;103836.4037704518;103848.3202541965;34747586375.76;2063102522861.03;2025-05-18T09:00:00.000000Z
Bitcoin;103854.6390644698;103936.3609392673;103808.8054063628;103860.1577484418;34441288877.12;2063135774151.3;2025-05-18T10:00:00.000000Z
Bitcoin;103856.3129031239;103978.2464088968;103818.5866582514;103823.6760592973;34483505110.2;2062548723824.03;2025-05-18T11:00:00.000000Z
Bitcoin;103826.7613422219;103957.2779878471;103726.6777373233;103946.9885086538;34404356913.7;2065041553922.02;2025-05-18T12:00:00.000000Z
Bitcoin;103952.2480629285;104728.1595023993;103892.5043086099;104703.7675265309;34851854635.91;2080156143640.71;2025-05-18T13:00:00.000000Z
Bitcoin;104716.1020000023;105524.9530222106;104556.8055702246;105267.9662102016;35082364029.34;2091187208210.74;2025-05-18T14:00:00.000000Z
Bitcoin;105268.3956897048;105649.0200345099;105014.864907161;105524.6460673654;37781575549.27;2096169522049.65;2025-05-18T15:00:00.000000Z
Bitcoin;105519.2006786532;105945.4667335682;105173.0501787333;105910.6554547313;38458074597.42;2103659632399.93;2025-05-18T16:00:00.000000Z
Bitcoin;105896.2457834708;105896.2457834708;104992.9813638491;104992.9813638491;39646687081.97;2085569044168.37;2025-05-18T17:00:00.000000Z
Bitcoin;104985.5826000209;104985.5826000209;104076.6073074234;104403.7195624618;41570725849.05;2073887190159.39;2025-05-18T18:00:00.000000Z
Bitcoin;104397.5290649865;104746.4452019598;103913.6651353689;103913.6651353689;42673061552.2;2064142953399.72;2025-05-18T19:00:00.000000Z
Bitcoin;103907.0133584618;104281.4083995166;103359.9359053071;104147.6473261429;45524560147.11;2069213607596.99;2025-05-18T20:00:00.000000Z
Bitcoin;104162.4716107706;104578.3461895713;104103.6697327554;104246.9959332745;44813180698.17;2070971883560.57;2025-05-18T21:00:00.000000Z
Bitcoin;104250.7752748924;105830.7724064888;104030.5513231925;105814.0501381839;46409753743.94;2101958557905.89;2025-05-18T22:00:00.000000Z
Bitcoin;105810.6152946109;106597.1681343974;105517.8795492021;106446.0105544264;49887082058.37;2114273396994.7;2025-05-18T23:00:00.000000Z
Bitcoin;106430.5327027544;107068.7223682781;105192.4939734117;105254.144560441;52556376548.98;2090959396541.51;2025-05-19T00:00:00.000000Z
Bitcoin;105258.8585606521;105382.7809607652;104766.0328499793;105068.8911985873;54742981217.48;2087223993638.39;2025-05-19T01:00:00.000000Z
Bitcoin;105066.4715562937;105155.3771446021;104585.7451262643;104634.6045975351;54903850765.14;2078692726666.3;2025-05-19T02:00:00.000000Z
Bitcoin;104639.4352494374;104653.0266983967;103559.8582403581;103617.0665507138;56572197681.4;2058175629177.39;2025-05-19T03:00:00.000000Z
Bitcoin;103606.6238739722;103727.4688774233;102817.3277775234;102983.1043740094;58276444245.27;2045670952228.22;2025-05-19T04:00:00.000000Z
Bitcoin;102977.1502066277;103105.5307012661;102661.1578733451;103020.2704299367;60323750426.74;2046583086811.06;2025-05-19T05:00:00.000000Z
Bitcoin;103023.0662029628;103172.2194679807;102112.6854600726;102266.3544770178;62018732136.33;2031569458712.43;2025-05-19T06:00:00.000000Z
Bitcoin;102267.2942963544;103333.8989476467;102217.8963051355;103228.9910780741;63410367168.34;2050743843596.86;2025-05-19T07:00:00.000000Z
Bitcoin;103232.5147831647;103374.5930673844;102960.2213264252;103182.7352713794;63491357726.62;2049927990795.49;2025-05-19T08:00:00.000000Z
Bitcoin;103191.4455210814;103315.9448916263;103033.5609484293;103063.0974478034;63959228219.03;2047739268657.41;2025-05-19T09:00:00.000000Z
Bitcoin;103081.267308829;103092.1306459972;102868.7143736035;102969.7414406062;64356490658.74;2045597361959.1;2025-05-19T10:00:00.000000Z
Bitcoin;102973.3783551703;103066.537462292;102816.2608590138;102979.8386425708;64632080579.62;2045739455302.84;2025-05-19T11:00:00.000000Z
Bitcoin;102980.1942406922;102992.8447902836;102161.315888744;102413.2925537722;65423943502.59;2034363793874.99;2025-05-19T12:00:00.000000Z
Bitcoin;102406.9738797154;103513.8614492919;102346.4086330318;103408.1346701679;66979353065.72;2054255821979.01;2025-05-19T13:00:00.000000Z
Bitcoin;103407.6751649069;104372.6552746467;103235.8489560879;104285.6152859489;66948649211.23;2071808433693.01;2025-05-19T14:00:00.000000Z
